# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
4600193561,4600193562,secondary
30554969,30554971,tertiary
216350784,71710260,primary
30295052,30554837,tertiary
2815411494,800172185,primary
26057131,30242818,backbone
30556099,30556542,backbone
30243357,4826672649,primary
30689095,8300308153,primary
1121909724,30914405,primary
12901275342,2293731604,primary
3134509191,797407467,primary
4431660097,560025943,secondary
425611711,9549447205,secondary
30253432,30253440,primary
1933546287,376748008,primary
668513854,668513977,secondary
783747960,790034780,primary
30227070,cluster_13134439125_431107481,primary
1771985487,420553161,secondary
5259830246,cluster_11218778225_11218778227_251543450_687897181,secondary
30295310,50099103,primary
401795938,cluster_12645457284_30295475,secondary
425611931,6449314873,secondary
543552887,544223024,secondary
402875760,4130763475,primary
541644026,544223032,secondary
cluster_1126998923_947908704,cluster_947908698_947908716,secondary
30312836,365566117,secondary
2331122650,2331122653,backbone
4834501648,cluster_10140262448_10140262450_4834501645,primary
21638920,21638921,primary
2269130822,cluster_431484966_559787238,tertiary
211637737,216350784,primary
243342778,347340794,primary
1119385741,668475738,secondary
30227035,30227478,primary
2456874969,604001411,primary
12644016427,2505262700,primary
256484485,849592992,primary
30617622,412450368,tertiary
262251807,312894381,primary
998615820,998615843,primary
540312576,690411229,secondary
30314490,364720393,primary
2508272959,30243048,primary
1363702659,412442324,primary
30333310,799374580,primary
1297818714,550453994-AddedOffRampNode,secondary
12898135210,604001411,primary
26057131,30254228,backbone
323191075,cluster_12914037675_12914037676_1771982085,primary
409506333,412398657,primary
30254085,799374580,primary
30313434,359234359,secondary
30295814,598224884,secondary
30243879,30243889,primary
12898105357,412457999,primary
30960628,30960639,primary
35120240,687897075,secondary
1374800938,8119152611,secondary
2686563658,30296294,primary
616356152,6932324302,backbone
412453976,412457981,primary
3822804384,3822804388,primary
4127392690,959498845,primary
359236005,841867107,primary
478861422,903833762,secondary
1479334811,cluster_1012330342_340193179,secondary
493241896,506242742,secondary
12945124082,26057079,primary
1935827755,1935827773,primary
30312830,cluster_2767286510_30312828_536428053,secondary
430535724,430535725,backbone
11322667565,12953076917,primary
5406526144,815063056,secondary
30312841,30312843,secondary
1526542622,1526542623,primary
11556041912,4554375436,backbone
30312840,30312841,secondary
536418264,559794889,backbone
30297363,cluster_1297490067_2786421930_2786421958_559410527_#1more,primary
1312053343,cluster_1312053372_421265639,secondary
