# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
4346093754,560006201,secondary
1303457341,30254087,primary
2063950829,30689129,secondary
12898105345,258465505#1-AddedOffRampNode,primary
338935531,572086736,secondary
30254632,cluster_449385486_770847877,secondary
251543584,8374788339,secondary
478861422,903833762,secondary
1303457305,30253862,tertiary
5405788370,960996565,secondary
1377933378,1377933417,primary
462641371,8302792056,secondary
30312838,30312839,secondary
1307277321,30297366,secondary
30689096,8300308152,primary
3059542904,363877276,secondary
1233754562,30294673,tertiary
1479334732,30238016,secondary
30254228,8203998879,backbone
10177414047,10177414048,primary
7540811513,9090670832,primary
30618096,769906819,secondary
4473060899,5163777214,secondary
8530300635,cluster_12953261545_481122118_8530300633,secondary
5289700459,cluster_1710709046_2578612972,primary
30312937,30312954,primary
2879016203,30227154,tertiary
12898105350,34397845-AddedOnRampNode,primary
30314636,303636030,secondary
30307932,30914440,tertiary
4826672643,561521656,secondary
30254627,30617807,secondary
257047975,257047981,secondary
4880337146,8109172276,secondary
30242877,3193317991,primary
12898135208,2456870302,primary
30558452,cluster_126797986_12950167740_1534156659,backbone
30332979,506223330,primary
30313240,30313353,primary
430535703,6762254081,primary
30617347,5241749027,primary
30297371,559410524,secondary
9029647948,9029647950,secondary
1377933376,359236960,primary
126769419,12883618560,secondary
847727780,847727785,primary
2707139547,387127514,primary
1357271772,cluster_415950289_6073196939,secondary
243341157,cluster_243341156_4171977898,primary
783747960,800172181,primary
240882893,cluster_240936353_30227495,backbone
258565859,cluster_257746909_258563358,backbone
2606686566,2606686567,secondary
532408985,cluster_532408981_539147486,secondary
387127524,cluster_863733312_863733525,primary
30254087,879356690,primary
3134509196,cluster_11556041911_4554375438,primary
415994535,478875473,primary
30295627,30295719,secondary
12908680315,12908680326,primary
4826156658,668523613,secondary
31285283,31285435,secondary
30253432,30253440,primary
30554837,395272168,tertiary
30294515,30313440,secondary
381023034,567474433,primary
30554853,30554859,tertiary
4385157797,cluster_2473394000_2473394005_30297525,tertiary
1382873567,364991353,primary
412449780,567451703,secondary
cluster_2077949582_687897182,cluster_2077949595_251543446_4476005036_6314709584_#1more,secondary
104431832,26057116,backbone
30254080,30254081,tertiary
30253457,30555981,tertiary
30313434,30313436,secondary
1043834293,5248043033,primary
598224012,598225121,secondary
3306168426,598219928,secondary
30297454,cluster_2473394000_2473394005_30297525,tertiary
1311619392,442540255,primary
2650585624,770847824,secondary
30554968,30554969,tertiary
412446734,412446735,primary
1365781145,392351451,secondary
30247167,30247433,backbone
30558547,339961223,tertiary
12944597956,4470619573,primary
4717481850,536418253,primary
5276351886,71710260,backbone
4436378450,5163777214,secondary
30295811,4470467238,secondary
2456870326,2456870327,primary
30295052,30295054,primary
30297363,cluster_1297490067_2786421930_2786421958_559410527_#1more,primary
1474941218,314899334,backbone
30960628,412446735,primary
30253989,3601250399,primary
4827417964,cluster_1621899817_1622002042_2767286511,primary
12898135201,29380495-AddedOnRampNode,primary
30296130,8461920641,secondary
178542532,530687855,secondary
1396408886,30242960,tertiary
104459413,30227030,tertiary
cluster_2697516077_430764639,cluster_615815427_629328233,primary
1595524645,7223673629,primary
30295817,30295821,secondary
1551112026,cluster_364719512_6064789701_7223675826_7223675837_#1more,primary
319427657,5262704813,secondary
30294509,540312579,primary
1400544022,cluster_30884329_775644929,primary
2331122650,30295302,backbone
323190145,415402218,primary
1303440695,30253584,primary
1856466645,269386319,secondary
541643983,544223044,secondary
543553141,559417176,secondary
1589583464,2494769767,primary
13254400116,378208896,secondary
1141475343,347353580,primary
2706190190,948980792,secondary
783747960,790034780,primary
cluster_30617602_390878338,cluster_390878333_412452734,primary
126683890,30295135,primary
1528727077,8374788339,secondary
30297366,597441690,secondary
8119424280,cluster_359237300_8529602573,secondary
2692588225,30294498,secondary
1940905182,30312840,secondary
544222994,544222999,secondary
11256490151,8148449203,primary
30294501,59850112,primary
