# Multi-Origin Emergency Corridor Edges
# Origins: 4
# Format: node_id_1,node_id_2,tier
#
1365781180,4416582824,primary
4337235666,cluster_2148865171_689999085,primary
359234311,359236960,secondary
1933546287,376748008,primary
390057400,390057402,secondary
420553150,420553161,secondary
1375697892,30295105,tertiary
1377933417,8119424274,secondary
30295101,30295102,primary
30294501,30294509,secondary
3827694228,457887476,primary
30617761,30617811,primary
2505242600,366065824,secondary
30294335,30294337,secondary
420553182,cluster_420553141_420553180,secondary
125935921,31286309,primary
30294487,59850112,secondary
11970158816,841867132,secondary
30294527,8565580821,secondary
2750066930,3827694228,primary
30237640,30237698,backbone
12908881403,347712446,secondary
243342790,243342791,primary
3306168427,3306168428,secondary
1311770051,344992889,backbone
1695282581,cluster_1695282555_1695282559_7487343260,tertiary
1940624170,1940624171,secondary
387127515,387127540,primary
4880337146,8109172276,primary
190986445,190987751,primary
30294515,30294516,secondary
364718311,692247833,secondary
1940555303,30312952,secondary
359240328,cluster_1984002392_330418566,secondary
5393693518,cluster_243343389_4485344000_4485344001,secondary
258565861,2665264315,backbone
1297744704,1382873567,primary
30343487,4260777637,primary
1551112035,cluster_1377806812_692247839,secondary
225859994,cluster_243343389_4485344000_4485344001,secondary
1622002046,347353579,secondary
2578612979,262250645,primary
363878511,598224742,secondary
1437748528,572001922,secondary
448786036,448786037,primary
30243878,4834209607,primary
2327729212,30238199,primary
4552362841,544223024,secondary
30243112,30555002,tertiary
359235505,359238598,secondary
4192143119,689999131,primary
3184350873,cluster_219018793_219018794_426891065,primary
1589583429,6842012554,primary
598224522,cluster_434423056_598224750,secondary
698899849,903833768,primary
31285555,432467115,secondary
692807420,692807422,primary
11256490149,30242951,backbone
30556748,82760180,tertiary
12923224032,412458357,primary
30558219,cluster_30558292_412549139,secondary
30296310,330413164,secondary
1853174677,604937943,primary
10266016765,2264150813,tertiary
178542532,cluster_1012330342_340193179,primary
257048068,257048076,primary
412444617,5254788638,backbone
30297381,30297382,primary
30295098,30295099,primary
1857695693,378214298,secondary
30295508,434471890,secondary
258565861,955030102,backbone
30297376,543553128,secondary
1297445118,3679449091,secondary
12908680345,12908680347,secondary
30313367,60969503,tertiary
2526235552,2686522116,tertiary
3369034784,cluster_1622039335_4338262500,primary
695117639,cluster_2148865169_4723213610_689430448,primary
430535703,430535725,primary
30247413,30313353,primary
12945124067,255861698,primary
30242960,30253568,tertiary
356295291,356295312,secondary
10177367826,1532752080,primary
30313010,365565045,tertiary
30295627,30295719,secondary
2264591782,cluster_126803361_250793737,primary
30313348,30313349,primary
243343118,30312487,secondary
1381852561,cluster_1381852565_3748616590_690803431,backbone
5402582931,5402582936,primary
30313560,841867115,secondary
30251190,30251191,primary
598223793,598223867,secondary
10266016765,30227052,tertiary
12923224011,604943434,primary
2505242600,338935526,secondary
30253734,4850661055,secondary
3521917425,568847331,secondary
30295514,30295515,secondary
1119386014,559417178,secondary
30248584,30313132,secondary
30295139,8530214078,primary
432510056,977657489,secondary
1589583464,cluster_30313113_4470657984_4470657986_5927245611,primary
2458217848,3191418787,primary
30254599,30617794,secondary
11322667565,12953076917,primary
30295271,314899334,backbone
1482182667,512759845-AddedOnRampNode,secondary
1312053343,1312053384,secondary
30254197,442540276,primary
2331122650,2331122653,primary
1233754614,30294784,secondary
415994535,4992914467,secondary
30295132,393144498,primary
30617795,cluster_387127587_863733378,primary
412547375,535233455,primary
258359387,258359388,secondary
387127747,387127748,secondary
256484453,3822859923,backbone
3762047842,448700549,primary
1207618829,243342775,primary
30253203,30689520,primary
30617900,903833766,primary
30689056,387130505,tertiary
30243883,30247093,primary
1075648459,412451017,tertiary
cluster_1011403944_6205757161_904641358,cluster_364669539_412453120,tertiary
30295336,30295337,tertiary
31286309,387127706,primary
4436378450,5163777214,secondary
1043834110,1043855099,tertiary
11053219723,2988042338,tertiary
395305579,401798223,secondary
30243880,30246772,primary
269379908,6210812030,primary
1312053334,cluster_30332593_402899818_6482637091_6852936110,primary
30558461,5402582931,primary
257048063,4416582754,primary
247637683,30312955,secondary
2456874969,338936194,secondary
cluster_1044543192_3048036440,cluster_1710709046_2578612972,primary
359104407,6634825854,primary
387127467,3994496055,primary
269379907,998637904,primary
1307272002,30555009,backbone
2331122654,30295302,primary
692247854,692807378,tertiary
364669872,980160394,primary
689442392,9354166784,tertiary
10182331327,1532752080,tertiary
30238023,7580972991,primary
425768614,604937943,primary
365565044,cluster_1621904464_3075809787_3956071721,primary
240978795,506131379,primary
1350812728,cluster_2292981003_6985802967,backbone
2650778289,2650778307,backbone
30296600,30296620,secondary
2606686453,425635745,secondary
323190146,cluster_3643380198_3643380203_366065819_415994563,secondary
30553740,7438745243,tertiary
1297818717,1482182667,secondary
30295544,598224749,primary
190989415,30343467,primary
688393865,cluster_1002675914_688393867,secondary
12914780181,688393865,secondary
104459413,30227030,tertiary
30243334,30254029,backbone
30253983,cluster_2869959998_412444660,backbone
598224522,622011510,secondary
1297818717,4589037149,secondary
1378060299,31285281,primary
3207273509,442540258,backbone
30238015,30238016,primary
30236932,30237197,primary
4323496660,5286242897,secondary
30237607,30246777,primary
1623838327,cluster_2293731677_2293731679,primary
482511832,cluster_12516813715_2976987341_482505222,primary
30333341,30554041,backbone
10171890314,1695282664,primary
3822804384,3822804388,secondary
1297490070,9769889198,secondary
1393379505-AddedOffRampNode,1393379505-AddedOnRampNode,primary
10181609591,4719409243,primary
11061732535,11061736176,primary
30295514,598224514,secondary
1940908213,5711742102,primary
478875996,481122621,primary
2473393781,cluster_2473393793_2473393804_30297530,secondary
330414226,cluster_1116623801_1116623856,primary
1169009527,1623835960,primary
687897107,cluster_251543436_6314709891_687897133,secondary
1622039331,598220048,secondary
1233760230,8562072982,secondary
1008972044,390057400,secondary
2077484253,627782770,secondary
950190651,cluster_770847830_955341713,secondary
420892535,421265629,primary
2115356972,412451017,primary
319428307,363877263,secondary
412453212,583257390,primary
2665264315,30617695,tertiary
1261315828,1297521224,backbone
2869959988,30295288,primary
535228359,7223673630,primary
30556617,364722133,primary
442540254,cluster_301572243_301573106_71643531,primary
30247061,30298888,primary
1012330330,13265904336,secondary
2533347689,cluster_1935827759_6002052354_622350685,primary
30295888,415402209,secondary
415994535,478875473,primary
1695282606,8224504608,tertiary
1314467682,330412974,secondary
1695282581,2689685266,tertiary
2709095334,3855178234,secondary
30554041,30554503,tertiary
1454439253,412462146,primary
30313174,4736087618,secondary
30237016,30237197,primary
