# Emergency Corridor Edges (node_id_1, node_id_2, tier)
1528717122,681936233,secondary
412458357,412458358,primary
678297060,cluster_2087205009_5227213296,primary
30689242,387130529,tertiary
30314630,59749808,secondary
26198844,4837543302,secondary
30238011,30243883,secondary
622350681,8453810777,primary
4829396040,cluster_219018793_219018794_426891065,secondary
668486384,668513854,secondary
1017920073,1017920205,secondary
12919280809,30254013,secondary
30558511,30558512,secondary
2087205014,330415541,secondary
26057342,30242758,secondary
392351066,392351069,secondary
30584585,30584586,primary
30294439,30294448,secondary
30237691,30313181,tertiary
506223417,618300957,primary
1017920240,1017920255,secondary
30237643,4022831609,secondary
4171977889,cluster_1119994499_30242977_4171977906,primary
557230350,8121955342,secondary
30243322,30243323,secondary
30297327,561521686,secondary
1311619488,5260601900,primary
30556625,82026109,secondary
26057076,9425413590,secondary
26198833,30246781,secondary
256484325,2707139547,secondary
319428307,363877263,secondary
543552887,544223024,secondary
30251189,998567794,secondary
262250617,601048025,secondary
4263046378,597222090,secondary
30247007,8319500779,secondary
415937924,9039923519,secondary
239219222#0-AddedOnRampNode,308672735,secondary
668512260,994071419,secondary
1303457189,8148449127,secondary
240978795,506131379,secondary
30558567,8465744797,secondary
5251900046,959498816,primary
30248345,3743057429,secondary
1853174602,1853174766,tertiary
269376402,269382573,secondary
30242957,30555005,tertiary
243748042,3439160184,secondary
10182235280,10182235282,secondary
2450895997,cluster_615815434_629327975,primary
408908799,cluster_11513563617_1457780021_431100342,tertiary
1400442248,344992884,secondary
30237689,30237690,primary
506223397,559424460,secondary
1479334897,30243361,secondary
1303363170,1303363171,tertiary
1853174712,1853174747,secondary
1233754603,cluster_30237675_5250643030_8529334834_8529334835_#1more,primary
1311619365,30254222,secondary
1588281327,cluster_1046607407_951016296,primary
412453201,cluster_390878333_412452734,secondary
190985756,876375351,primary
30253574,30333309,secondary
323169605,950161659,primary
30298833,cluster_1316679287_30296152,tertiary
3184350863,3184350873,secondary
126763470,393144498,tertiary
998615820,998615843,secondary
603995030,950190478,secondary
418136959,8562072982,secondary
30242872,30243061,secondary
597222067,660778322,secondary
4237804310,cluster_4234151123_4237804314,secondary
1117832735,416012205,primary
126656745,30295139,primary
30295312,847727783,tertiary
695092723,cluster_2148865169_4723213610_689430448,secondary
1853174728,1857472201,primary
30248281,30298893,secondary
1046607396,1046613006,primary
416012192,478861367,tertiary
1860569742,1860569743,secondary
5251900046,5251907139,tertiary
1043834249,1043834285,primary
262250621,cluster_1297470708_7160883598,secondary
4826156632,559052412,secondary
618431744,620148180,primary
412453095,877366733,primary
30313363,60969497,primary
30242948,3672891957,tertiary
30247061,30298888,secondary
674790896,cluster_126781137_1377806858,primary
597933816,cluster_3005325687_3005325693,secondary
30333334,30333335,primary
30617785,387127524,primary
30294526,330418569,primary
1400442249,559032149,secondary
4192143112,cluster_1297445112_247637112_2810872737_2810990580_#1more,secondary
2126571874,2509871324,primary
1298458116,319428309,tertiary
543553059,8132079773,secondary
1233754567,1233754603,primary
3855178234,598221107,secondary
30558429,30558433,secondary
12896069778,3049188203,secondary
30264418,30264419,secondary
3824228475,387130480,tertiary
13199678806,240978204,secondary
442540299,cluster_1311619445_5260740738,primary
30313240,30313353,secondary
126763513,cluster_3191418779_3191418780,primary
cluster_1002675916_1002710245,cluster_1002710274_126763506,secondary
30313538,30314491,secondary
30553973,30554974,tertiary
243339207,4428072819,secondary
1856466545,cluster_390227125_390227126_6248912559_8529610210,secondary
1315972422,5368233710,primary
1526542623,412453978,primary
320857511,392353660,secondary
239219222#0-AddedOnRampNode,308672709,secondary
559052401,689442437,secondary
30254803,cluster_4343830708_689430493,secondary
12919195227,1840721011,primary
288026011,977657491,secondary
3945299711,3945299721,tertiary
30294177,998567794,secondary
770847823,9350842927,primary
541644038,8396779091,secondary
30554852,30554956,secondary
5948798216,cluster_1310620180_1532984315,tertiary
30313064,cluster_30313062_30313063_5003921264,secondary
30246674,8180094958,primary
12945124082,9425413590,secondary
30294661,535228357,secondary
30243042,4837543302,secondary
4834985777,493241896,secondary
13197779091,4212111673,secondary
770847801,770847803,tertiary
1299373044,1299373046,primary
1588281327,cluster_1695282574_387130473,primary
30554859,30555744,secondary
30254048,30254049,primary
387127655,387130477,tertiary
12952598284,619407541,primary
5264791964,5405788370,secondary
12643425281,cluster_1139082290_1139082295_319630104_8550439929,secondary
30554041,30554503,secondary
30251176,30251177,secondary
4592704409,4592704411,primary
1526422877,364670487,primary
442540280,559803319,secondary
30558511,cluster_12919565844_59850119_724126687_8125229482,secondary
8165483914,977657491,secondary
30294335,30558557,secondary
26198844,30246864,secondary
432509869,cluster_30237675_5250643030_8529334834_8529334835_#1more,primary
2077484253,627782770,secondary
30237685,409505319,tertiary
1860575763,30243337,secondary
330417404,330417405,tertiary
178532853,1922952909,secondary
3567345315,561521641,secondary
31285555,432467115,primary
4171977688,4171977889,primary
364716778,364716820,secondary
30243371,442540250,secondary
13270149602,71710267,secondary
1853174602,1853174747,tertiary
319631083,8272191684,tertiary
219026483,312891599,secondary
364669872,980160394,primary
1311619488,30247431,primary
2456874971,366066655,primary
10114407391,316877771,secondary
12952598286,315487000,primary
cluster_30294696_3055187868,cluster_556364033_998761492,primary
1233754614,432509965,primary
30242818,559787231,secondary
12256308653,30253730,secondary
30237645,559764760,primary
30312481,cluster_253795220_253795580_3662615660_7006970222,secondary
1377806827,1377806846,secondary
1043905685,cluster_11258759941_11258759944_11258759969_12138690553_#2more,secondary
535233407,651878676,primary
2578612979,262250645,secondary
442540293,cluster_1126848522_30243208_3184415002_6855299017,secondary
1311619363,1311619517,secondary
1156424404,30295491,secondary
2749832743,cluster_323168834_323168835,secondary
1400723037,cluster_13134439125_431107481,secondary
426881065,537823321,primary
358505154,8530386527,primary
12953261513,cluster_415402221_449385473,primary
30556152,4485281937,tertiary
12952598289,620148198,primary
269386336,681936382,secondary
30227228,30247097,primary
6100210204,cluster_6100210188_6100210189_6100210191_6100210193_#5more,secondary
12901275344,2760236004,secondary
30297301,559052399,secondary
770847800,770847823,primary
30314648,30314651,secondary
8132079779,8132079781,secondary
cluster_10140262448_10140262450_4834501645,cluster_4538123412_4834501641_7917340021,secondary
1856466645,cluster_1856466592_1856466753_8173456628,primary
1938218690,1938243778,secondary
6099715644,cluster_269375412_269376403_6099715643,secondary
430537449,430537456,secondary
30295406,3860517847,secondary
2606686566,2606686567,primary
1362642915,cluster_1016384550_3275080767,secondary
30294527,8565580821,secondary
1307297617,416885092,secondary
364720250,364720393,secondary
30295529,598224642,tertiary
2192116959,30253449,tertiary
30332601,cluster_30332606_8223182475,secondary
30246862,cluster_1121909742_1479334886_8409412905,secondary
1017920129,1017920255,secondary
30646198,4690881901,secondary
1652620972,597933811,secondary
30238030,30243373,secondary
30253278,30689531,secondary
3053342333,415943065,secondary
1437748518,2686563657,tertiary
30252078,5908351895,secondary
6319813807,cluster_415402221_449385473,primary
364811890,364811899,tertiary
1075648459,6301479267,tertiary
324230919,981699928,primary
30294473,630583121,secondary
30295139,8530214078,primary
2689685268,30689098,primary
1695282673,4407308354,secondary
4549311789,560025943,secondary
30243322,555187275,secondary
1002675881,692247930,primary
2473393741,2473393779,secondary
30297454,cluster_10858526497_10858526500_441668045_544222987,secondary
2264151290,30227133,secondary
cluster_243346367_243346441,cluster_30244001_3592009292,secondary
1475044289,8121509947,secondary
10226421381,6091986825,secondary
30558241,688393879,secondary
12953470706,434487433,secondary
1716858625,818710835,primary
560559159,cluster_556364033_998761492,primary
1454439253,412462146,primary
423831232,430757822,tertiary
26057076,4549272595,secondary
