orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
30243322,1812294093,5,5,133.01785714285714,135.0,0.0,1602.0,1602.0,0.0
6434214256,12884439756,10,0,0.0,0.0,0.0,0.0,0.0,0.0
30243323,5260292356,5,5,100.30357142857143,130.0,0.0,1315.0,1315.0,0.0
30237633,6985826711,25,0,0.0,0.0,0.0,0.0,0.0,0.0
30237641,30247166,15,15,66.85714285714286,80.0,4.08248290463863,701.0,936.0,0.0
cluster_301572944_71643547_9803583623,cluster_30237612_6670690974,45,0,0.0,0.0,0.0,0.0,0.0,0.0
8193762124,30238025,5,0,0.0,0.0,0.0,0.0,0.0,0.0
359104407,1311619368,30,30,51.28571428571429,80.0,13.228756555322953,574.0,574.0,0.0
30237698,30238029,5,0,0.0,0.0,0.0,0.0,0.0,0.0
30247431,30247433,30,30,18.0,44.166666666666664,4.487637339278753,252.0,252.0,0.0
30237772,30247433,15,15,57.92857142857143,78.33333333333333,2.357022603955158,806.0,811.0,0.0
4222882539,30237613,25,25,74.125,120.0,12.24744871391589,821.0,821.0,0.0
5260292356,6762205322,5,5,79.92857142857143,105.0,0.0,1098.0,1107.0,0.0
4823547657,30247433,60,0,0.0,0.0,0.0,0.0,0.0,0.0
10896077231,9042478734,5,5,108.375,140.0,0.0,1140.0,1140.0,0.0
30247433,30237641,30,30,33.42857142857143,50.0,5.0,467.0,468.0,0.0
30238029,12953119988,15,15,85.82142857142857,105.0,12.24744871391589,717.0,717.0,0.0
30247167,8210106342,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30243367,30237696,5,5,49.92857142857142,50.0,0.0,699.0,699.0,0.0
8097436674,1311619368,40,0,0.0,0.0,0.0,0.0,0.0,0.0
30237613,6762205322,10,10,88.28571428571428,107.5,2.5,1210.0,1224.0,0.0
1311770053,30237638,35,35,76.23214285714286,175.0,25.354627641855497,774.0,774.0,0.0
30243368,30237637,10,10,64.78571428571429,75.0,5.0,907.0,907.0,0.0
7005287334,4173395797,30,0,0.0,0.0,0.0,0.0,0.0,0.0
12953119985,3213093362,5,0,0.0,0.0,0.0,0.0,0.0,0.0
8214234926,30237639,60,0,0.0,0.0,0.0,0.0,0.0,0.0
6634825854,11861295890,10,0,0.0,0.0,0.0,0.0,0.0,0.0
12884439749,1362899971,30,30,17.69642857142857,54.166666666666664,18.80085695446413,142.0,142.0,0.0
30243370,12953119988,10,10,58.85714285714286,60.0,0.0,740.0,740.0,0.0
cluster_30237612_6670690974,7005287334,15,0,0.0,0.0,0.0,0.0,0.0,0.0
3213093362,30243366,5,0,0.0,0.0,0.0,0.0,0.0,0.0
7806252248,12884439756,15,0,0.0,0.0,0.0,0.0,0.0,0.0
30238025,10896077231,15,0,0.0,0.0,0.0,0.0,0.0,0.0
4222882539,555187275,25,25,144.67261904761904,197.0,19.131126469708992,1359.0,1530.0,0.0
5260601900,30237614,45,45,43.92857142857143,106.66666666666667,63.42099196813482,615.0,1102.2222222222222,705.8359547810868
6874436644,5260292356,25,0,0.0,0.0,0.0,0.0,0.0,0.0
8235926364,8655000700,35,0,0.0,0.0,0.0,0.0,0.0,0.0
30237637,30247167,40,40,73.39285714285714,119.375,12.854352375751958,639.0,765.0,0.0
8235449359,1362899971,5,0,0.0,0.0,0.0,0.0,0.0,0.0
2989836087,30238025,35,35,52.08333333333333,143.57142857142858,25.872528966106906,415.0,415.0,0.0
30237772,30237637,10,10,33.785714285714285,40.0,0.0,473.0,473.0,0.0
30238029,3236553576,15,0,0.0,0.0,0.0,0.0,0.0,0.0
7005287334,30237772,5,5,45.67857142857143,65.0,0.0,626.0,626.0,0.0
