orig,dest,total_trips,completed_trips,free_travel_time,average_travel_time,stddiv_travel_time,shortest_distance,average_distance_traveled_per_veh,stddiv_distance_traveled_per_veh
5260601900,442540300,35,35,38.44642857142857,92.85714285714286,40.607629724433984,443.0,443.0,0.0
11370726443,9803583625,10,0,0.0,0.0,0.0,0.0,0.0,0.0
30237637,30237634,15,15,12.785714285714286,35.0,0.0,179.0,179.0,0.0
12884439756,8193762124,5,5,57.33928571428571,80.0,0.0,792.0,793.0,0.0
30238027,30237640,20,20,38.375,55.0,20.615528128088304,307.0,364.25,99.15990873331822
30237616,1311770053,35,0,0.0,0.0,0.0,0.0,0.0,0.0
4897232218,30237867,20,0,0.0,0.0,0.0,0.0,0.0,0.0
30237639,5260292356,15,15,30.214285714285715,46.666666666666664,2.357022603955158,423.0,423.0,0.0
30243323,442540240,5,0,0.0,0.0,0.0,0.0,0.0,0.0
6874436644,12953119985,35,0,0.0,0.0,0.0,0.0,0.0,0.0
4897232218,12953119988,5,5,86.17857142857142,170.0,0.0,902.0,902.0,0.0
6434214256,30247433,35,35,62.892857142857146,88.57142857142857,20.824828195876073,549.0,549.0,0.0
30243367,1311619368,15,15,87.125,110.0,4.08248290463863,1169.0,1171.0,0.0
12953119985,30238029,50,0,0.0,0.0,0.0,0.0,0.0,0.0
442540270,8193762124,5,5,90.625,105.0,0.0,1066.0,1175.0,0.0
12953119988,cluster_301572460_301572949_71643543,75,0,0.0,0.0,0.0,0.0,0.0,0.0
5260292356,442540300,50,50,19.94642857142857,84.0,41.701318923986086,184.0,255.6,94.10759799293572
30238025,1311773884,55,55,60.357142857142854,138.63636363636363,58.39095933645383,755.0,939.3636363636364,346.79998760807166
30237633,1311619368,10,0,0.0,0.0,0.0,0.0,0.0,0.0
9803583625,cluster_301572306_301572951_71643537,20,0,0.0,0.0,0.0,0.0,0.0,0.0
442540300,11861295890,35,0,0.0,0.0,0.0,0.0,0.0,0.0
6985826711,30247434,50,0,0.0,0.0,0.0,0.0,0.0,0.0
30237617,5761245141,10,10,55.714285714285715,67.5,2.5,772.0,772.0,0.0
4897232218,30247433,25,25,81.28571428571429,200.0,38.8587184554509,922.0,1002.8,60.40331116751796
11370726443,6985826711,10,10,27.0,42.5,7.5,81.0,81.0,0.0
